user_id,movie_id,rating,timestamp
12,10,4,2024-01-06
15,9,3,2024-02-18
3,9,4,2024-03-21
20,15,4,2024-03-14
7,12,3,2024-01-06
8,13,4,2024-01-11
8,14,3,2024-02-18
9,8,5,2024-02-16
6,6,4,2024-01-27
9,12,5,2024-03-23
3,10,5,2024-01-22
18,12,3,2024-01-21
15,7,4,2024-03-22
18,4,5,2024-02-11
2,4,3,2024-02-10
13,5,3,2024-01-28
19,15,5,2024-02-10
7,11,4,2024-02-20
15,3,4,2024-01-18
8,12,5,2024-03-09
19,7,4,2024-01-29
5,9,4,2024-01-12
2,14,3,2024-01-20
6,13,5,2024-02-24
20,2,4,2024-02-18
20,8,5,2024-02-02
18,14,3,2024-03-28
4,11,5,2024-04-06
9,13,5,2024-02-13
4,5,4,2024-01-21
15,1,5,2024-04-02
9,9,3,2024-03-05
4,14,5,2024-02-08
17,10,3,2024-01-20
12,13,3,2024-03-10
17,15,3,2024-03-17
11,8,3,2024-01-15
12,15,4,2024-01-31
3,12,4,2024-01-09
18,13,3,2024-01-17
16,9,3,2024-02-03
17,14,5,2024-02-24
7,15,5,2024-04-06
12,8,5,2024-02-27
4,4,3,2024-01-09
11,1,5,2024-03-11
8,10,3,2024-01-01
8,2,3,2024-02-12
16,4,5,2024-01-17
19,10,4,2024-02-01
16,13,4,2024-01-25
4,2,5,2024-02-25
12,7,4,2024-02-29
2,11,5,2024-03-23
4,1,4,2024-04-03
11,13,3,2024-02-01
7,4,5,2024-02-27
5,7,3,2024-02-05
15,4,3,2024-02-26
18,2,3,2024-03-24
8,3,4,2024-03-03
6,7,3,2024-02-19
9,15,4,2024-02-06
14,12,5,2024-04-10
18,11,5,2024-03-03
5,4,4,2024-01-28
2,10,5,2024-03-10
2,12,4,2024-01-08
17,3,3,2024-03-06
3,14,3,2024-01-09
13,2,5,2024-02-01
3,7,5,2024-03-15
19,9,4,2024-02-03
8,5,4,2024-01-17
10,8,4,2024-04-06
3,1,4,2024-03-20
19,2,3,2024-03-09
7,9,4,2024-01-17
12,5,3,2024-02-26
17,1,5,2024-03-11
10,15,5,2024-01-14
5,5,3,2024-01-14
18,3,4,2024-02-06
20,4,5,2024-02-13
17,8,4,2024-01-07
3,11,4,2024-02-05
2,1,4,2024-04-08
5,11,4,2024-01-21
18,1,3,2024-01-10
5,1,4,2024-02-16
2,15,4,2024-01-27
8,11,3,2024-02-15
18,15,4,2024-03-20
5,15,3,2024-01-21
6,15,4,2024-01-04
6,12,4,2024-04-10
14,13,5,2024-04-04
4,7,3,2024-03-01
8,4,4,2024-02-14
10,14,3,2024-01-29
1,11,3,2024-02-21
11,5,3,2024-04-08
